"(5*Pi)/4",4.30516989884586
"2*Pi",3.4775501772543
"(7*Pi)/4",3.44781560578627
"(7*Pi)/2",3.44263205987334
"(11*Pi)/4",3.38967851455731
"(3*Pi)/2",3.34143870228118
0,3.28128934994144
"(13*Pi)/4",3.27344414565799
"(13*Pi)/4",3.25276922481146
"(5*Pi)/2",3.20368829124362
"3*Pi",3.19135536812102
"(3*Pi)/4",3.19042279849413
"Pi",3.18538478496549
"3*Pi",3.13763483011257
"(9*Pi)/4",3.12525222952747
"Pi/4",3.05199616863535
"Pi/2",3.01647791425736
"(11*Pi)/4",2.95992946508301
"2*Pi",2.94607058390598
"(7*Pi)/4",2.932186966929
"(11*Pi)/4",2.90239606737926
"(5*Pi)/2",2.82553420498202
"(3*Pi)/2",2.82493907178389
"(5*Pi)/4",2.70806342786732
"(9*Pi)/4",2.67975095835052
"Pi",2.62164445140116
"(9*Pi)/4",2.59472325501142
"(3*Pi)/4",2.57247737208596
0,2.55368404352637
"2*Pi",2.48180513859836
"2*Pi",2.42868910935857
"Pi/2",2.37588891235819
"Pi/4",2.36368464484789
"(7*Pi)/4",2.33917707224697
"(7*Pi)/4",2.22571044996082
"(3*Pi)/2",2.14463837559707
"(5*Pi)/4",2.03528801249627
"(3*Pi)/2",2.01768926209377
"Pi",1.856842540542274
"(5*Pi)/4",1.799095397760563
"(3*Pi)/4",1.71418807852522
"Pi/2",1.618581805199067
"Pi",1.558961732321615
0,1.483447169094739
"Pi/4",1.471527782799644
"(3*Pi)/4",1.276008986051069
"Pi/2",0.953759092694953
"Pi/4",0.539970995579004
"(5*Pi)/4",0.50615497842297089252562488271468688001`15.301029995663981*I
"(5*Pi)/4",0
